column_name,non_null_rows,q1,q3,iqr,lower_fence,upper_fence,iqr_outlier_count,iqr_outlier_percentage,mean,standard_deviation,zscore_outlier_count,zscore_outlier_percentage,zscore_threshold,methods_agree,comparison_explanation
delivery_days,99441,6.8737962963059545,15.363090277649462,8.489293981343508,-5.860144675709307,28.097031249664724,5522,5.553041501996159,12.488903027524685,9.411506851640343,1662,1.671342806287145,3,Disagree,"IQR uses robust quartiles and is sensitive to skewed tails, while Z-scores depend on the mean and standard deviation and assume a more symmetric distribution."
delay_days,99441,-16.157662036828697,-6.698564814869314,9.459097221959382,-30.34630786976777,7.490081018069759,5447,5.477619895214247,-11.202073385301087,10.033908333402444,1384,1.3917800504821953,3,Disagree,"IQR uses robust quartiles and is sensitive to skewed tails, while Z-scores depend on the mean and standard deviation and assume a more symmetric distribution."
item_count,99441,1.0,1.0,0.0,1.0,1.0,9803,9.85810681710763,1.1406260998984323,0.5364921072361657,2287,2.2998561961364024,3,Disagree,"IQR uses robust quartiles and is sensitive to skewed tails, while Z-scores depend on the mean and standard deviation and assume a more symmetric distribution."
seller_count,99441,1.0,1.0,0.0,1.0,1.0,1278,1.2851841795637613,1.0135155519353185,0.12182493146659415,1278,1.2851841795637613,3,Agree,Both methods flagged the same number of observations.
item_value,99441,45.99,149.9,103.91,-109.875,305.765,7915,7.959493569050995,137.3577417765308,209.86928771439582,1711,1.7206182560513268,3,Disagree,"IQR uses robust quartiles and is sensitive to skewed tails, while Z-scores depend on the mean and standard deviation and assume a more symmetric distribution."
freight_value,99441,13.9,23.92,10.020000000000001,-1.1300000000000008,38.95,10184,10.24124857955974,22.779500306714535,21.57199580841693,1593,1.6019549280477872,3,Disagree,"IQR uses robust quartiles and is sensitive to skewed tails, while Z-scores depend on the mean and standard deviation and assume a more symmetric distribution."
payment_value,99441,62.01,176.97,114.96000000000001,-110.43,349.40999999999997,7866,7.910218119286813,160.98970655966852,221.94909489744617,1724,1.7336913345601914,3,Disagree,"IQR uses robust quartiles and is sensitive to skewed tails, while Z-scores depend on the mean and standard deviation and assume a more symmetric distribution."
review_score,99441,4.0,5.0,1.0,2.5,6.5,14449,14.530223951891072,4.093846267300878,1.3434393028669804,0,0.0,3,Disagree,"IQR uses robust quartiles and is sensitive to skewed tails, while Z-scores depend on the mean and standard deviation and assume a more symmetric distribution."
